GameStartTime,GameEndTime,GameDuration,DateOfGame
2024-01-16 22:36:38.905,2024-01-16 23:08:27.499,1908,2024-01-16
2024-01-16 21:59:13.664,2024-01-16 22:28:08.934,1735,2024-01-16
2024-01-16 21:27:31.718,2024-01-16 21:54:08.575,1596,2024-01-16
2024-01-16 21:20:32.622,2024-01-16 21:22:17.681,105,2024-01-16
2024-01-16 20:28:12.074,2024-01-16 21:07:33.509,2361,2024-01-16
2024-01-16 19:43:50.963,2024-01-16 20:07:21.613,1410,2024-01-16
2024-01-16 19:13:40.748,2024-01-16 19:41:21.947,1661,2024-01-16
2024-01-16 18:12:34.771,2024-01-16 18:38:01.740,1527,2024-01-16
2024-01-15 20:25:47.120,2024-01-15 20:59:23.577,2016,2024-01-15
2024-01-15 19:47:36.955,2024-01-15 20:19:35.209,1918,2024-01-15
2024-01-15 18:51:40.888,2024-01-15 19:37:21.169,2740,2024-01-15
2024-01-15 18:09:09.454,2024-01-15 18:43:36.545,2067,2024-01-15
2024-01-15 14:10:26.609,2024-01-15 14:12:54.495,148,2024-01-15
2024-01-15 13:38:41.073,2024-01-15 14:02:13.873,1412,2024-01-15
2024-01-15 12:56:28.024,2024-01-15 13:29:51.510,2003,2024-01-15
2024-01-14 22:58:53.124,2024-01-14 23:16:54.892,1081,2024-01-14
2024-01-14 22:22:25.971,2024-01-14 22:54:24.241,1918,2024-01-14
2024-01-14 20:28:52.193,2024-01-14 21:02:14.521,2002,2024-01-14
2024-01-14 19:50:11.795,2024-01-14 20:17:23.719,1632,2024-01-14
2024-01-14 15:23:26.516,2024-01-14 16:01:56.446,2310,2024-01-14
2024-01-14 14:45:45.099,2024-01-14 15:10:58.069,1513,2024-01-14
2024-01-14 14:03:53.196,2024-01-14 14:36:58.309,1985,2024-01-14
2024-01-14 13:00:18.432,2024-01-14 13:42:53.195,2554,2024-01-14
2024-01-13 22:31:39.433,2024-01-13 23:07:12.944,2133,2024-01-13
2024-01-13 10:37:52.775,2024-01-13 11:03:11.489,1518,2024-01-13
2024-01-12 12:33:54.372,2024-01-12 12:49:37.635,943,2024-01-12
2024-01-12 12:18:38.124,2024-01-12 12:30:57.637,739,2024-01-12
2024-01-12 10:28:32.724,2024-01-12 10:44:24.672,952,2024-01-12
2024-01-11 16:42:51.620,2024-01-11 17:09:35.088,1603,2024-01-11
2024-01-11 15:55:25.307,2024-01-11 16:31:43.960,2178,2024-01-11
2024-01-11 13:24:01.400,2024-01-11 14:00:46.061,2204,2024-01-11
2024-01-11 12:12:45.146,2024-01-11 12:33:36.149,1251,2024-01-11
2024-01-10 21:18:14.851,2024-01-10 21:32:42.837,868,2024-01-10
2024-01-10 20:52:01.604,2024-01-10 21:14:57.644,1376,2024-01-10
2024-01-09 19:08:31.985,2024-01-09 19:38:53.206,1821,2024-01-09
2024-01-08 21:24:53.026,2024-01-08 21:46:01.013,1268,2024-01-08
2024-01-08 20:37:55.780,2024-01-08 20:54:55.714,1019,2024-01-08
2024-01-08 15:45:21.036,2024-01-08 16:02:47.980,1046,2024-01-08
2024-01-08 14:23:30.775,2024-01-08 14:38:52.701,921,2024-01-08
2024-01-08 14:06:02.793,2024-01-08 14:21:16.778,914,2024-01-08
2024-01-07 21:42:23.139,2024-01-07 22:01:21.305,1138,2024-01-07
2024-01-07 19:02:31.267,2024-01-07 19:21:38.776,1147,2024-01-07
2024-01-07 12:37:30.039,2024-01-07 12:54:15.088,1005,2024-01-07
2024-01-05 15:38:31.354,2024-01-05 15:54:43.981,972,2024-01-05
2024-01-05 14:20:56.724,2024-01-05 14:39:35.699,1119,2024-01-05
2024-01-02 16:01:52.285,2024-01-02 16:17:27.385,935,2024-01-02
2024-01-02 15:43:18.545,2024-01-02 15:57:55.614,877,2024-01-02
2024-01-01 22:15:28.124,2024-01-01 22:32:58.960,1050,2024-01-01
2024-01-01 21:54:31.758,2024-01-01 22:12:49.227,1097,2024-01-01
2023-12-31 18:37:03.276,2023-12-31 18:55:50.356,1127,2023-12-31
2023-12-31 13:05:04.057,2023-12-31 13:21:50.203,1006,2023-12-31
2023-12-31 12:13:38.876,2023-12-31 12:29:51.326,972,2023-12-31
2023-12-31 11:56:16.467,2023-12-31 12:19:41.416,1404,2023-12-31
2023-12-28 18:26:35.529,2023-12-28 18:41:14.625,879,2023-12-28
2023-12-28 17:51:30.886,2023-12-28 18:10:42.552,1151,2023-12-28
2023-12-26 21:33:03.229,2023-12-26 21:50:15.809,1032,2023-12-26
2023-12-26 21:17:21.964,2023-12-26 21:33:05.610,943,2023-12-26
2023-12-26 18:43:24.308,2023-12-26 18:58:46.207,921,2023-12-26
2023-12-24 18:35:13.014,2023-12-24 18:50:43.941,930,2023-12-24
2023-12-24 11:47:41.821,2023-12-24 12:04:34.100,1012,2023-12-24
2023-12-24 11:29:43.957,2023-12-24 11:44:14.647,870,2023-12-24
2023-12-23 21:23:00.319,2023-12-23 21:46:52.518,1432,2023-12-23
2023-12-23 20:53:55.479,2023-12-23 21:17:52.351,1437,2023-12-23
2023-12-23 20:32:02.075,2023-12-23 20:48:23.705,981,2023-12-23
2023-12-23 18:34:39.678,2023-12-23 18:49:42.979,903,2023-12-23
2023-12-22 21:06:22.141,2023-12-22 21:21:53.514,931,2023-12-22
2023-12-22 19:29:43.308,2023-12-22 19:47:28.663,1065,2023-12-22
2023-12-21 21:46:49.705,2023-12-21 22:03:27.158,997,2023-12-21
2023-12-21 20:01:36.851,2023-12-21 20:19:19.838,1063,2023-12-21
2023-12-21 19:44:27.082,2023-12-21 19:58:43.640,856,2023-12-21
2023-12-21 16:31:23.562,2023-12-21 16:45:29.218,845,2023-12-21
2023-12-21 15:05:03.443,2023-12-21 15:21:54.037,1010,2023-12-21
2023-12-20 20:01:36.145,2023-12-20 20:18:03.410,987,2023-12-20
2023-12-18 22:09:20.249,2023-12-18 22:27:55.615,1115,2023-12-18
2023-12-18 21:51:04.947,2023-12-18 22:07:02.959,958,2023-12-18
2023-12-18 19:58:31.992,2023-12-18 20:11:46.432,794,2023-12-18
2023-12-18 00:03:45.547,2023-12-18 00:19:06.056,920,2023-12-18
2023-12-17 23:43:47.776,2023-12-18 00:00:36.559,1008,2023-12-17
2023-12-17 12:37:23.603,2023-12-17 12:56:18.392,1134,2023-12-17
2023-12-17 12:23:22.909,2023-12-17 12:39:23.737,960,2023-12-17
2023-12-16 21:41:13.160,2023-12-16 21:57:48.306,995,2023-12-16
2023-12-16 21:23:33.577,2023-12-16 21:41:11.783,1058,2023-12-16
2023-12-16 20:38:28.362,2023-12-16 21:19:18.011,2449,2023-12-16
2023-12-16 20:13:53.148,2023-12-16 20:31:34.875,1061,2023-12-16
2023-12-16 19:54:18.558,2023-12-16 20:10:43.782,985,2023-12-16
2023-12-16 19:03:27.038,2023-12-16 19:20:16.863,1009,2023-12-16
2023-12-16 17:36:45.379,2023-12-16 17:53:32.252,1006,2023-12-16
2023-12-16 17:21:39.690,2023-12-16 17:36:03.240,863,2023-12-16
2023-12-16 17:02:13.430,2023-12-16 17:20:03.816,1070,2023-12-16
2023-12-16 14:24:52.278,2023-12-16 14:45:09.275,1217,2023-12-16
2023-12-16 14:02:23.869,2023-12-16 14:21:14.211,1130,2023-12-16
2023-12-16 13:41:15.681,2023-12-16 13:58:08.060,1012,2023-12-16
2023-12-16 13:20:43.281,2023-12-16 13:37:54.197,1030,2023-12-16
2023-12-16 13:01:47.585,2023-12-16 13:16:41.394,893,2023-12-16
2023-12-16 11:24:04.360,2023-12-16 11:41:30.929,1046,2023-12-16
2023-12-15 23:10:06.614,2023-12-15 23:27:16.661,1030,2023-12-15
2023-12-15 22:54:10.136,2023-12-15 23:09:19.659,909,2023-12-15
2023-12-15 18:51:10.881,2023-12-15 19:08:18.652,1027,2023-12-15
2023-12-15 18:12:00.869,2023-12-15 18:31:35.246,1174,2023-12-15
2023-12-15 17:34:01.935,2023-12-15 17:47:49.328,827,2023-12-15
2023-12-15 17:18:09.114,2023-12-15 17:32:31.718,862,2023-12-15
2023-12-15 16:05:34.734,2023-12-15 16:26:34.571,1259,2023-12-15
2023-12-15 13:31:52.467,2023-12-15 13:49:33.407,1060,2023-12-15
2023-12-14 13:32:05.801,2023-12-14 13:50:50.283,1124,2023-12-14
2023-12-14 13:08:31.321,2023-12-14 13:27:00.430,1109,2023-12-14
2023-12-13 19:11:42.756,2023-12-13 19:30:47.475,1144,2023-12-13
2023-12-13 17:52:41.286,2023-12-13 18:06:47.156,845,2023-12-13
2023-12-12 22:49:13.909,2023-12-12 23:06:43.841,1049,2023-12-12
2023-12-12 22:20:20.290,2023-12-12 22:35:34.662,914,2023-12-12
2023-12-12 16:01:29.659,2023-12-12 16:17:05.454,935,2023-12-12
